# Informations personnelles
# Civilite: Mme
# Nom: Dupont
# Prenom: Marie
# Ne modifiez pas ces lignes, elles sont nécessaires pour la personnalisation de votre application

start,end,activity,type,theme
05:00:00,05:45:00,Sport matinal,sport,
05:45:00,06:30:00,Pause petit déjeuner,break-long,
06:30:00,06:55:00,Travail - Projet A,work,Projet A
06:55:00,07:00:00,Pause courte,break-short,
07:00:00,07:25:00,Travail - Projet A,work,Projet A
07:25:00,07:30:00,Pause courte,break-short,
07:30:00,07:55:00,Travail - Projet A,work,Projet A
07:55:00,08:00:00,Pause courte,break-short,
08:00:00,08:25:00,Travail - Projet B,work,Projet B
08:25:00,08:40:00,Pause longue,break-long,
08:40:00,09:05:00,Travail - Projet B,work,Projet B
09:05:00,09:10:00,Pause courte,break-short,
09:10:00,09:35:00,Travail - Projet B,work,Projet B
09:35:00,09:40:00,Pause courte,break-short,
09:40:00,10:05:00,Travail - Projet B,work,Projet B
10:05:00,10:10:00,Pause courte,break-short,
10:10:00,10:35:00,Travail - Projet C,work,Projet C
10:35:00,10:50:00,Pause longue,break-long,
10:50:00,11:15:00,Travail - Projet C,work,Projet C
11:15:00,11:20:00,Pause courte,break-short,
11:20:00,11:45:00,Travail - Projet C,work,Projet C
11:45:00,11:50:00,Pause courte,break-short,
11:50:00,12:15:00,Travail - Projet C,work,Projet C
12:15:00,13:15:00,Pause déjeuner,break-meal,
13:15:00,13:40:00,Travail - Projet D,work,Projet D
13:40:00,13:45:00,Pause courte,break-short,
13:45:00,14:10:00,Travail - Projet D,work,Projet D
14:10:00,14:15:00,Pause courte,break-short,
14:15:00,14:40:00,Travail - Projet D,work,Projet D
14:40:00,14:45:00,Pause courte,break-short,
14:45:00,15:10:00,Travail - Projet D,work,Projet D
15:10:00,15:25:00,Pause longue,break-long,
15:25:00,15:50:00,Travail - Langue étrangère,work,Langue
15:50:00,15:55:00,Pause courte,break-short,
15:55:00,16:20:00,Travail - Langue étrangère,work,Langue
16:20:00,16:25:00,Pause courte,break-short,
16:25:00,16:50:00,Travail - Langue étrangère,work,Langue
16:50:00,16:55:00,Pause courte,break-short,
16:55:00,17:20:00,Travail - Langue étrangère,work,Langue
17:20:00,17:35:00,Pause longue,break-long,
17:35:00,18:00:00,Travail - Lecture,work,Lecture
18:00:00,19:00:00,Pause dîner,break-meal,
