# Informations personnelles
# Civilite: M.
# Nom: Brice
# Prenom: de la Parra
# Ne modifiez pas ces lignes, elles sont nécessaires pour la personnalisation de votre application

start,end,activity,type,theme
05:00:00,05:45:00,Sport,sport,
05:45:00,06:30:00,Pause petit déjeuner,break-long,
06:30:00,06:55:00,Math,work,Mathématiques
06:55:00,07:00:00,Pause courte,break-short,
07:00:00,07:25:00,Math,work,Mathématiques
07:25:00,07:30:00,Pause courte,break-short,
07:30:00,07:55:00,Math,work,Mathématiques
07:55:00,08:00:00,Pause courte,break-short,
08:00:00,08:25:00,Math,work,Mathématiques
08:25:00,08:40:00,Pause longue,break-long,
08:40:00,09:05:00,Jedha,work,Data Science & Engineering
09:05:00,09:10:00,Pause courte,break-short,
09:10:00,09:35:00,Jedha,work,Data Science & Engineering
09:35:00,09:40:00,Pause courte,break-short,
09:40:00,10:05:00,Jedha,work,Data Science & Engineering
10:05:00,10:10:00,Pause courte,break-short,
10:10:00,10:35:00,Jedha,work,Data Science & Engineering
10:35:00,10:50:00,Pause longue,break-long,
10:50:00,11:15:00,Jedha & Tapis de marche,work,Data Science & Engineering - Marche
11:15:00,11:20:00,Pause courte,break-short,
11:20:00,11:45:00,Jedha & Tapis de marche,work,Data Science & Engineering - Marche
11:45:00,11:50:00,Pause courte,break-short,
11:50:00,12:15:00,Jedha & Tapis de marche,work,Data Science & Engineering - Marche
12:15:00,13:15:00,Pause déjeuner,break-meal,
13:15:00,13:40:00,Architecte IA & Tapis de marche,work,Architecte IA - Marche
13:40:00,13:45:00,Pause courte,break-short,
13:45:00,14:10:00,Architecte IA & Tapis de marche,work,Architecte IA - Marche
14:10:00,14:15:00,Pause courte,break-short,
14:15:00,14:40:00,Architecte IA & Tapis de marche,work,Architecte IA - Marche
14:40:00,14:45:00,Pause courte,break-short,
14:45:00,15:10:00,Jedha,work,Data Science & Engineering
15:10:00,15:25:00,Pause longue,break-long,
15:25:00,15:50:00,Jedha,work,Data Science & Engineering
15:50:00,17:00:00:00,Pause dîner,break-meal,
17:00:00:00,18:45:00:00,Jedha - Coaching,work,Jedha - Cours - Coaching
